municipio,mesoregiao
Águas Mornas,Grande Florianópolis
Alfredo Wagner,Grande Florianópolis
Angelina,Grande Florianópolis
Anitápolis,Grande Florianópolis
Antônio Carlos,Grande Florianópolis
Biguaçu,Grande Florianópolis
Canelinha,Grande Florianópolis
Florianópolis,Grande Florianópolis
Governador Celso Ramos,Grande Florianópolis
Leoberto Leal,Grande Florianópolis
Major Gercino,Grande Florianópolis
Nova Trento,Grande Florianópolis
Palhoça,Grande Florianópolis
Paulo Lopes,Grande Florianópolis
Rancho Queimado,Grande Florianópolis
Santo Amaro da Imperatriz,Grande Florianópolis
São Bonifácio,Grande Florianópolis
São João Batista,Grande Florianópolis
São José,Grande Florianópolis
São Pedro de Alcântara,Grande Florianópolis
Tijucas,Grande Florianópolis
Araquari,Norte Catarinense
Balneário Barra do Sul,Norte Catarinense
Bela Vista do Toldo,Norte Catarinense
Campo Alegre,Norte Catarinense
Canoinhas,Norte Catarinense
Corupá,Norte Catarinense
Garuva,Norte Catarinense
Guaramirim,Norte Catarinense
Irineópolis,Norte Catarinense
Itaiópolis,Norte Catarinense
Itapoá,Norte Catarinense
Jaraguá do Sul,Norte Catarinense
Joinville,Norte Catarinense
Mafra,Norte Catarinense
Major Vieira,Norte Catarinense
Massaranduba,Norte Catarinense
Monte Castelo,Norte Catarinense
Papanduva,Norte Catarinense
Porto União,Norte Catarinense
Rio Negrinho,Norte Catarinense
Santa Terezinha,Norte Catarinense
São Bento do Sul,Norte Catarinense
São Francisco do Sul,Norte Catarinense
Schroeder,Norte Catarinense
Timbó Grande,Norte Catarinense
Três Barras,Norte Catarinense
Abelardo Luz,Oeste Catarinense
Água Doce,Oeste Catarinense
Águas de Chapecó,Oeste Catarinense
Águas Frias,Oeste Catarinense
Alto Bela Vista,Oeste Catarinense
Anchieta,Oeste Catarinense
Arabutã,Oeste Catarinense
Arroio Trinta,Oeste Catarinense
Arvoredo,Oeste Catarinense
Bandeirante,Oeste Catarinense
Barra Bonita,Oeste Catarinense
Belmonte,Oeste Catarinense
Bom Jesus,Oeste Catarinense
Bom Jesus do Oeste,Oeste Catarinense
Caçador,Oeste Catarinense
Caibi,Oeste Catarinense
Calmon,Oeste Catarinense
Campo Erê,Oeste Catarinense
Capinzal,Oeste Catarinense
Catanduvas,Oeste Catarinense
Caxambú do Sul,Oeste Catarinense
Chapecó,Oeste Catarinense
Concórdia,Oeste Catarinense
Cordilheira Alta,Oeste Catarinense
Coronel Freitas,Oeste Catarinense
Coronel Martins,Oeste Catarinense
Cunha Porã,Oeste Catarinense
Cunhataí,Oeste Catarinense
Descanso,Oeste Catarinense
Dionísio Cerqueira,Oeste Catarinense
Entre Rios,Oeste Catarinense
Erval Velho,Oeste Catarinense
Faxinal dos Guedes,Oeste Catarinense
Flôr do Sertão,Oeste Catarinense
Formosa do Sul,Oeste Catarinense
Fraiburgo,Oeste Catarinense
Galvão,Oeste Catarinense
Guaraciaba,Oeste Catarinense
Guarujá do Sul,Oeste Catarinense
Guatambú,Oeste Catarinense
Herval do Oeste,Oeste Catarinense
Herval d Oeste,Oeste Catarinense
Ibiam,Oeste Catarinense
Ibicaré,Oeste Catarinense
Iomerê,Oeste Catarinense
Ipira,Oeste Catarinense
Iporã do Oeste,Oeste Catarinense
Ipuaçu,Oeste Catarinense
Ipumirim,Oeste Catarinense
Iraceminha,Oeste Catarinense
Irani,Oeste Catarinense
Irati,Oeste Catarinense
Itá,Oeste Catarinense
Itapiranga,Oeste Catarinense
Jaborá,Oeste Catarinense
Jardinópolis,Oeste Catarinense
Joaçaba,Oeste Catarinense
Jupiá,Oeste Catarinense
Lacerdópolis,Oeste Catarinense
Lajeado Grande,Oeste Catarinense
Lebon Régis,Oeste Catarinense
Lindóia do Sul,Oeste Catarinense
Luzerna,Oeste Catarinense
Macieira,Oeste Catarinense
Maravilha,Oeste Catarinense
Marema,Oeste Catarinense
Matos Costa,Oeste Catarinense
Modelo,Oeste Catarinense
Mondaí,Oeste Catarinense
Nova Erechim,Oeste Catarinense
Nova Itaberaba,Oeste Catarinense
Novo Horizonte,Oeste Catarinense
Ouro,Oeste Catarinense
Ouro Verde,Oeste Catarinense
Paial,Oeste Catarinense
Palma Sola,Oeste Catarinense
Palmitos,Oeste Catarinense
Paraíso,Oeste Catarinense
Passos Maia,Oeste Catarinense
Peritiba,Oeste Catarinense
Pinhalzinho,Oeste Catarinense
Pinheiro Preto,Oeste Catarinense
Piratuba,Oeste Catarinense
Planalto Alegre,Oeste Catarinense
Ponte Serrada,Oeste Catarinense
Presidente Castello Branco,Oeste Catarinense
Princesa,Oeste Catarinense
Quilombo,Oeste Catarinense
Rio das Antas,Oeste Catarinense
Riqueza,Oeste Catarinense
Romelândia,Oeste Catarinense
Saltinho,Oeste Catarinense
Salto Veloso,Oeste Catarinense
Santa Helena,Oeste Catarinense
Santa Terezinha do Progresso,Oeste Catarinense
Santiago do Sul,Oeste Catarinense
São Bernardino,Oeste Catarinense
São Carlos,Oeste Catarinense
São Domingos,Oeste Catarinense
São João do Oeste,Oeste Catarinense
São José do Cedro,Oeste Catarinense
São Lourenço do Oeste,Oeste Catarinense
São Miguel da Boa Vista,Oeste Catarinense
São Miguel do Oeste,Oeste Catarinense
Saudades,Oeste Catarinense
Seara,Oeste Catarinense
Serra Alta,Oeste Catarinense
Sul Brasil,Oeste Catarinense
Tangará,Oeste Catarinense
Tigrinhos,Oeste Catarinense
Treze Tílias,Oeste Catarinense
Tunápolis,Oeste Catarinense
União do Oeste,Oeste Catarinense
Vargeão,Oeste Catarinense
Vargem Bonita,Oeste Catarinense
Videira,Oeste Catarinense
Xanxerê,Oeste Catarinense
Xavantina,Oeste Catarinense
Xaxim,Oeste Catarinense
Abdon Batista,Serrana
Anita Garibaldi,Serrana
Bocaina do Sul,Serrana
Bom Jardim da Serra,Serrana
Bom Retiro,Serrana
Brunópolis,Serrana
Campo Belo do Sul,Serrana
Campos Novos,Serrana
Capão Alto,Serrana
Celso Ramos,Serrana
Cerro Negro,Serrana
Correia Pinto,Serrana
Curitibanos,Serrana
Frei Rogério,Serrana
Lages,Serrana
Monte Carlo,Serrana
Otacílio Costa,Serrana
Painel,Serrana
Palmeira,Serrana
Ponte Alta,Serrana
Ponte Alta do Norte,Serrana
Rio Rufino,Serrana
Santa Cecília,Serrana
São Cristóvão do Sul,Serrana
São Joaquim,Serrana
São José do Cerrito,Serrana
Urubici,Serrana
Urupema,Serrana
Vargem,Serrana
Zortéa,Serrana
Araranguá,Sul Catarinense
Armazém,Sul Catarinense
Balneário Arroio do Silva,Sul Catarinense
Balneário Gaivota,Sul Catarinense
Balneário Rincão,Sul Catarinense
Braço do Norte,Sul Catarinense
Capivari de Baixo,Sul Catarinense
Cocal do Sul,Sul Catarinense
Criciúma,Sul Catarinense
Ermo,Sul Catarinense
Forquilhinha,Sul Catarinense
Garopaba,Sul Catarinense
Grão Pará,Sul Catarinense
Gravatal,Sul Catarinense
Içara,Sul Catarinense
Imaruí,Sul Catarinense
Imbituba,Sul Catarinense
Jacinto Machado,Sul Catarinense
Jaguaruna,Sul Catarinense
Laguna,Sul Catarinense
Lauro Muller,Sul Catarinense
Maracajá,Sul Catarinense
Meleiro,Sul Catarinense
Morro da Fumaça,Sul Catarinense
Morro Grande,Sul Catarinense
Nova Veneza,Sul Catarinense
Orleans,Sul Catarinense
Passo de Torres,Sul Catarinense
Pedras Grandes,Sul Catarinense
Pescaria Brava,Sul Catarinense
Praia Grande,Sul Catarinense
Rio Fortuna,Sul Catarinense
Sangão,Sul Catarinense
Santa Rosa de Lima,Sul Catarinense
Santa Rosa do Sul,Sul Catarinense
São João do Sul,Sul Catarinense
São Ludgero,Sul Catarinense
São Martinho,Sul Catarinense
Siderópolis,Sul Catarinense
Sombrio,Sul Catarinense
Timbé do Sul,Sul Catarinense
Treviso,Sul Catarinense
Treze de Maio,Sul Catarinense
Tubarão,Sul Catarinense
Turvo,Sul Catarinense
Urussanga,Sul Catarinense
Agrolândia,Vale do Itajai
Agronômica,Vale do Itajai
Apiúna,Vale do Itajai
Ascurra,Vale do Itajai
Atalanta,Vale do Itajai
Aurora,Vale do Itajai
Balneário Camboriú,Vale do Itajai
Balneário Piçarras,Vale do Itajai
Barra Velha,Vale do Itajai
Benedito Novo,Vale do Itajai
Blumenau,Vale do Itajai
Bombinhas,Vale do Itajai
Botuverá,Vale do Itajai
Braço do Trombudo,Vale do Itajai
Brusque,Vale do Itajai
Camboriú,Vale do Itajai
Chapadão do Lageado,Vale do Itajai
Dona Emma,Vale do Itajai
Doutor Pedrinho,Vale do Itajai
Gaspar,Vale do Itajai
Guabiruba,Vale do Itajai
Ibirama,Vale do Itajai
Ilhota,Vale do Itajai
Imbuia,Vale do Itajai
Indaial,Vale do Itajai
Itajaí,Vale do Itajai
Itapema,Vale do Itajai
Ituporanga,Vale do Itajai
José Boiteux,Vale do Itajai
Laurentino,Vale do Itajai
Lontras,Vale do Itajai
Luiz Alves,Vale do Itajai
Mirim Doce,Vale do Itajai
Navegantes,Vale do Itajai
Penha,Vale do Itajai
Petrolândia,Vale do Itajai
Pomerode,Vale do Itajai
Porto Belo,Vale do Itajai
Pouso Redondo,Vale do Itajai
Presidente Getúlio,Vale do Itajai
Presidente Nereu,Vale do Itajai
Rio do Campo,Vale do Itajai
Rio do Oeste,Vale do Itajai
Rio do Sul,Vale do Itajai
Rio dos Cedros,Vale do Itajai
Rodeio,Vale do Itajai
Salete,Vale do Itajai
São João do Itaperiú,Vale do Itajai
Taió,Vale do Itajai
Timbó,Vale do Itajai
Trombudo Central,Vale do Itajai
Vidal Ramos,Vale do Itajai
Vítor Meireles,Vale do Itajai
Witmarsum,Vale do Itajai
